id,year,age,number_of_visits,county
470,2012,Children (0-17),55.0,Los Angeles
471,2012,Adults (18+),103.0,Los Angeles
472,2012,AllAges,24.0,Los Angeles
473,2012,Children (0-17),0.0,Los Angeles
474,2012,Adults (18+),13.0,Los Angeles
475,2012,AllAges,135.0,Los Angeles
476,2012,Children (0-17),58.0,Los Angeles
477,2012,Adults (18+),77.0,Los Angeles
478,2012,AllAges,22.0,Los Angeles
479,2012,Children (0-17),0.0,Los Angeles
480,2012,Adults (18+),14.0,Los Angeles
481,2012,AllAges,23.0,Los Angeles
482,2012,Children (0-17),0.0,Los Angeles
483,2012,Adults (18+),13.0,Los Angeles
484,2012,AllAges,27.0,Los Angeles
485,2012,Children (0-17),12.0,Los Angeles
486,2012,Adults (18+),15.0,Los Angeles
487,2012,AllAges,64.0,Los Angeles
488,2012,Children (0-17),23.0,Los Angeles
489,2012,Adults (18+),41.0,Los Angeles
490,2012,AllAges,97.0,Los Angeles
491,2012,Children (0-17),36.0,Los Angeles
492,2012,Adults (18+),61.0,Los Angeles
493,2012,AllAges,56.0,Los Angeles
494,2012,Children (0-17),16.0,Los Angeles
495,2012,Adults (18+),40.0,Los Angeles
496,2012,AllAges,165.0,Los Angeles
497,2012,Children (0-17),46.0,Los Angeles
498,2012,Adults (18+),119.0,Los Angeles
499,2012,AllAges,128.0,Los Angeles
500,2012,Children (0-17),35.0,Los Angeles
501,2012,Adults (18+),93.0,Los Angeles
502,2012,AllAges,14.0,Los Angeles
503,2012,Adults (18+),0.0,Fresno
504,2012,Children (0-17),0.0,Los Angeles
505,2012,Adults (18+),14.0,Los Angeles
506,2012,AllAges,63.0,Los Angeles
507,2012,Children (0-17),17.0,Los Angeles
508,2012,Adults (18+),46.0,Los Angeles
509,2012,AllAges,75.0,Los Angeles
510,2012,Children (0-17),33.0,Los Angeles
511,2012,Adults (18+),42.0,Los Angeles
512,2012,AllAges,15.0,Los Angeles
513,2012,Children (0-17),0.0,Los Angeles
514,2012,Adults (18+),0.0,Los Angeles
515,2012,AllAges,69.0,Los Angeles
516,2012,Children (0-17),19.0,Los Angeles
517,2012,Adults (18+),50.0,Los Angeles
518,2012,AllAges,56.0,Los Angeles
519,2012,Children (0-17),12.0,Los Angeles
520,2012,Adults (18+),44.0,Los Angeles
521,2012,AllAges,48.0,Los Angeles
522,2012,Children (0-17),0.0,Los Angeles
523,2012,Adults (18+),41.0,Los Angeles
524,2012,AllAges,69.0,Los Angeles
525,2012,Children (0-17),23.0,Los Angeles
526,2012,Adults (18+),46.0,Los Angeles
527,2012,AllAges,179.0,Los Angeles
528,2012,Children (0-17),44.0,Los Angeles
529,2012,Adults (18+),135.0,Los Angeles
530,2012,AllAges,95.0,Los Angeles
531,2012,Children (0-17),30.0,Los Angeles
